links	links-href	title	smalltitle	address	locationlink	locationlink-href	prise	details
Amsterdam Pipe MuseumAMSTERDAMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Amsterdam+Pipe+Museum/Amsterdam+Pipe+Museum.aspx	Amsterdam Pipe Museum AMSTERDAM	AMSTERDAM					
Dit museum is kidsproofKoninklijk Paleis AmsterdamAMSTERDAMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Koninklijk+Paleis+Amsterdam/Koninklijk+Paleis+A%27dam.aspx	Koninklijk Paleis Amsterdam AMSTERDAM					Museumkaart	
Cromhouthuis │ Bijbels MuseumAMSTERDAMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Cromhouthuis+%e2%94%82+Bijbels+Museum/Cromhouthuis+%e2%94%82+Bijbels+Museum.aspx	Cromhouthuis │ Bijbels Museum AMSTERDAM	AMSTERDAM					
HeksenwaagOUDEWATERDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Heksenwaag/Heksenwaag.aspx	Heksenwaag OUDEWATER			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0OUDEWATER%4052.023316,4.8722829&hl=nl&ie=UTF8&t=m&om=1&z=12"		
JenevermuseumSCHIEDAMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Jenevermuseum/Nationaal+Jenevermuseum+Schiedam.aspx	Jenevermuseum SCHIEDAM						"Borrel, neut, pikketanissie of een jonge met ijs. Jenever heeft vele namen en ook veel liefhebbers. Wie alles wil weten over deze typisch Nederlandse drank kan terecht in het Jenevermuseum in Jeneverstad Schiedam. Het Jenevermuseum is sinds 1996 gevestigd in een voormalige branderij. Beleef hier hoe deze nationale borrel gemaakt wordt. Ontmoet de glasblazer, koperslager, kuiper of zakkendrager en proef zelf waar al die moeite voor gedaan is. De meesterknecht stookt nog steeds het vuur op. Hij maakt de moutwijnjenever, Old Schiedam, precies zoals 300 jaar geleden."
JenevermuseumSCHIEDAMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Jenevermuseum/Nationaal+Jenevermuseum+Schiedam.aspx	Jenevermuseum SCHIEDAM			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0SCHIEDAM%4051.9152562,4.3973669&hl=nl&ie=UTF8&t=m&om=1&z=12"		
"Dolhuys, museum van de geestHAARLEMDit museum accepteert de Museumkaart"	https://www.museumkaart.nl/museum/Dolhuys%2c+museum+van+de+geest/Het+Dolhuys+.aspx	"Dolhuys, museum van de geest HAARLEM"			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0HAARLEM%4052.3904748,4.6380441&hl=nl&ie=UTF8&t=m&om=1&z=12"		
MariniersmuseumROTTERDAMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Mariniersmuseum/Mariniersmuseum.aspx	Mariniersmuseum ROTTERDAM			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0ROTTERDAM%4051.9187084,4.4915599&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Museum De WiegerDEURNEDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+De+Wieger/Museum+De+Wieger.aspx	Museum De Wieger DEURNE					Museumkaart	
Museum 'De Tien Malen'PUTTENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+%27De+Tien+Malen%27/Historisch+Museum+De+Tien+Malen.aspx	Museum 'De Tien Malen' PUTTEN	PUTTEN					
